Date,Revenue,Category,Weekday,Month,IsWeekend,Year,TrendLine_7D
2010-12-01,46376.49,Actual,Wednesday,December,False,2010,
2010-12-02,47316.53,Actual,Thursday,December,False,2010,
2010-12-03,23921.71,Actual,Friday,December,False,2010,
2010-12-04,0.0,Actual,Saturday,December,True,2010,
2010-12-05,31771.6,Actual,Sunday,December,True,2010,
2010-12-06,31215.64,Actual,Monday,December,False,2010,
2010-12-07,53795.31,Actual,Tuesday,December,False,2010,33485.32571428571
2010-12-08,39248.82,Actual,Wednesday,December,False,2010,32467.08714285714
2010-12-09,38231.9,Actual,Thursday,December,False,2010,31169.282857142858
2010-12-10,33650.28,Actual,Friday,December,False,2010,32559.078571428574
2010-12-11,0.0,Actual,Saturday,December,True,2010,32559.07857142857
2010-12-12,17305.77,Actual,Sunday,December,True,2010,30492.53142857143
2010-12-13,27642.68,Actual,Monday,December,False,2010,29982.10857142857
2010-12-14,29322.3,Actual,Tuesday,December,False,2010,26485.964285714286
2010-12-15,30311.72,Actual,Wednesday,December,False,2010,25209.235714285714
2010-12-16,49030.08,Actual,Thursday,December,False,2010,26751.832857142854
2010-12-17,20046.56,Actual,Friday,December,False,2010,24808.444285714282
2010-12-18,0.0,Actual,Saturday,December,True,2010,24808.444285714282
2010-12-19,7417.39,Actual,Sunday,December,True,2010,23395.818571428572
2010-12-20,19621.96,Actual,Monday,December,False,2010,22250.00142857143
2010-12-21,15951.66,Actual,Tuesday,December,False,2010,20339.91
2010-12-22,4886.52,Actual,Wednesday,December,False,2010,16707.73857142857
2010-12-23,5648.97,Actual,Thursday,December,False,2010,10510.437142857143
2010-12-24,0.0,Actual,Friday,December,False,2010,7646.642857142856
2010-12-25,0.0,Actual,Saturday,December,True,2010,7646.642857142857
2010-12-26,0.0,Actual,Sunday,December,True,2010,6587.015714285713
2010-12-27,0.0,Actual,Monday,December,False,2010,3783.878571428572
2010-12-28,0.0,Actual,Tuesday,December,False,2010,1505.0700000000002
2010-12-29,0.0,Actual,Wednesday,December,False,2010,806.9957142857144
2010-12-30,0.0,Actual,Thursday,December,False,2010,0.0
2010-12-31,0.0,Actual,Friday,December,False,2010,0.0
2011-01-01,0.0,Actual,Saturday,January,True,2011,0.0
2011-01-02,0.0,Actual,Sunday,January,True,2011,0.0
2011-01-03,0.0,Actual,Monday,January,False,2011,0.0
2011-01-04,12125.46,Actual,Tuesday,January,False,2011,1732.2085714285713
2011-01-05,28803.63,Actual,Wednesday,January,False,2011,5847.012857142857
2011-01-06,34360.19,Actual,Thursday,January,False,2011,10755.611428571428
2011-01-07,23797.79,Actual,Friday,January,False,2011,14155.295714285716
2011-01-08,0.0,Actual,Saturday,January,True,2011,14155.295714285716
2011-01-09,15778.2,Actual,Sunday,January,True,2011,16409.324285714287
2011-01-10,15346.83,Actual,Monday,January,False,2011,18601.72857142857
2011-01-11,60268.78,Actual,Tuesday,January,False,2011,25479.345714285715
2011-01-12,17153.94,Actual,Wednesday,January,False,2011,23815.104285714286
2011-01-13,15171.31,Actual,Thursday,January,False,2011,21073.835714285717
2011-01-14,39532.02,Actual,Friday,January,False,2011,23321.582857142854
2011-01-15,0.0,Actual,Saturday,January,True,2011,23321.582857142854
